"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2021","EQ","455.50","477.35","455.50","449.65","474.75","475.55","470.82","551.85","224.55",18257598,"8,596,073,581.95",178245
"30-Dec-2021","EQ","454.00","456.00","448.40","454.25","451.95","449.65","450.83","551.85","224.55",3843627,"1,732,825,558.70",42249
"29-Dec-2021","EQ","457.00","457.65","450.50","458.15","453.85","454.25","453.82","551.85","224.55",3050356,"1,384,325,830.60",47345
"28-Dec-2021","EQ","456.60","459.15","452.80","452.80","457.85","458.15","456.83","551.85","224.55",2889804,"1,320,147,234.50",45811
"27-Dec-2021","EQ","456.90","458.60","451.10","458.90","452.40","452.80","452.92","551.85","224.55",6146709,"2,783,975,880.00",72845
"24-Dec-2021","EQ","464.00","464.40","452.85","461.30","459.00","458.90","457.35","551.85","224.55",3122116,"1,427,888,647.05",38627
"23-Dec-2021","EQ","465.05","468.45","459.30","463.35","460.00","461.30","463.71","551.85","224.55",6986665,"3,239,803,503.50",120682
"22-Dec-2021","EQ","450.85","464.65","447.35","445.45","463.05","463.35","458.34","551.85","224.55",7765878,"3,559,414,902.40",121930
"21-Dec-2021","EQ","438.00","449.70","437.35","433.10","445.55","445.45","445.57","551.85","224.55",5029410,"2,240,967,835.85",71491
"20-Dec-2021","EQ","444.80","445.25","426.70","450.15","434.75","433.10","434.48","551.85","224.55",5952052,"2,586,036,575.30",77184
"17-Dec-2021","EQ","449.50","457.00","444.75","450.50","450.20","450.15","451.35","551.85","224.55",14337902,"6,471,463,945.30",92168
"16-Dec-2021","EQ","464.00","464.00","448.55","458.35","450.25","450.50","452.63","551.85","224.55",8879417,"4,019,104,161.85",99592
"15-Dec-2021","EQ","461.60","463.85","456.05","461.70","456.60","458.35","459.88","551.85","224.55",3651118,"1,679,078,182.15",57048
"14-Dec-2021","EQ","454.90","464.40","454.70","458.25","461.55","461.70","461.27","551.85","224.55",8027659,"3,702,956,437.35",107362
"13-Dec-2021","EQ","460.00","469.50","457.45","455.10","459.65","458.25","463.67","551.85","224.55",9401208,"4,359,101,847.40",109599
"10-Dec-2021","EQ","455.40","460.95","453.45","455.65","454.15","455.10","456.75","551.85","224.55",5308752,"2,424,774,073.75",62162
"09-Dec-2021","EQ","457.45","458.70","452.20","457.45","455.25","455.65","455.39","551.85","224.55",5586232,"2,543,941,283.70",68096
"08-Dec-2021","EQ","446.00","458.45","440.10","442.50","456.40","457.45","450.56","551.85","224.55",13700443,"6,172,933,603.35",222991
"07-Dec-2021","EQ","427.40","444.40","425.20","421.35","443.05","442.50","438.84","551.85","224.55",18303734,"8,032,406,307.15",186115
"06-Dec-2021","EQ","424.95","432.50","418.20","424.65","421.50","421.35","426.54","551.85","224.55",8160853,"3,480,937,526.80",82504
"03-Dec-2021","EQ","427.80","433.80","424.00","432.10","424.90","424.65","428.52","551.85","222.50",5938378,"2,544,732,818.60",79085
"02-Dec-2021","EQ","428.00","433.90","421.00","424.90","432.80","432.10","426.90","551.85","222.50",7775405,"3,319,301,651.00",79235
"01-Dec-2021","EQ","419.50","426.10","416.10","412.75","425.25","424.90","422.52","551.85","222.50",8183556,"3,457,736,126.30",100053
"30-Nov-2021","EQ","418.95","430.00","410.00","420.15","412.50","412.75","417.23","551.85","222.50",14850682,"6,196,106,263.40",161383
"29-Nov-2021","EQ","414.00","433.50","407.10","417.00","421.00","420.15","422.80","551.85","222.50",19069247,"8,062,383,420.00",167358
"26-Nov-2021","EQ","441.80","442.70","414.70","447.05","417.70","417.00","426.23","551.85","215.55",14826141,"6,319,390,573.05",176496
"25-Nov-2021","EQ","451.50","458.80","443.65","452.10","447.65","447.05","447.85","551.85","215.55",8633424,"3,866,520,315.80",97177
"24-Nov-2021","EQ","453.90","456.90","444.20","450.20","450.20","452.10","451.63","551.85","215.55",7761523,"3,505,356,904.00",92017
"23-Nov-2021","EQ","439.25","453.40","437.05","442.15","450.90","450.20","448.48","551.85","215.55",9020906,"4,045,678,366.75",107084
"22-Nov-2021","EQ","442.60","447.70","432.90","440.30","442.50","442.15","441.52","551.85","215.55",10007050,"4,418,266,107.95",153506
"18-Nov-2021","EQ","448.10","454.00","436.30","445.40","439.05","440.30","444.47","551.85","210.10",9688141,"4,306,050,852.85",126917
"17-Nov-2021","EQ","442.00","449.20","439.50","445.60","444.20","445.40","444.33","551.85","210.10",7474301,"3,321,059,593.35",101563
"16-Nov-2021","EQ","457.00","459.90","443.05","455.90","444.30","445.60","451.32","551.85","210.10",8937525,"4,033,700,918.80",121340
"15-Nov-2021","EQ","473.60","473.60","455.15","468.55","456.00","455.90","461.10","551.85","210.10",8882843,"4,095,878,266.45",106838
"12-Nov-2021","EQ","460.50","470.50","458.95","453.95","468.10","468.55","465.29","551.85","189.30",17010073,"7,914,661,209.50",183166
"11-Nov-2021","EQ","449.05","456.30","446.60","449.75","454.65","453.95","452.60","551.85","189.30",7789754,"3,525,633,571.15",103765
"10-Nov-2021","EQ","463.65","464.00","448.50","464.60","449.05","449.75","453.13","551.85","189.30",14672997,"6,648,816,630.10",147824
"09-Nov-2021","EQ","470.70","476.20","462.30","469.80","464.85","464.60","467.51","551.85","189.30",8628327,"4,033,841,920.65",79821
"08-Nov-2021","EQ","480.00","481.45","459.20","472.60","469.25","469.80","465.43","551.85","189.30",13018619,"6,059,196,879.10",147932
"04-Nov-2021","EQ","482.00","482.00","470.00","478.30","472.25","472.60","474.73","551.85","167.65",1615558,"766,949,280.75",27522
"03-Nov-2021","EQ","471.00","480.45","469.85","468.40","479.25","478.30","476.52","551.85","167.65",6928590,"3,301,644,706.75",68401
"02-Nov-2021","EQ","480.00","481.00","467.15","478.15","468.90","468.40","473.04","551.85","167.65",5953912,"2,816,452,154.10",84234
"01-Nov-2021","EQ","463.80","481.10","463.35","459.80","480.35","478.15","473.70","551.85","167.65",7466267,"3,536,737,259.45",101772
"29-Oct-2021","EQ","469.45","474.20","456.65","468.80","463.90","459.80","466.71","551.85","165.30",8306338,"3,876,656,949.45",83623
"28-Oct-2021","EQ","455.85","477.15","453.45","479.85","466.75","468.80","467.91","551.85","165.30",12659503,"5,923,553,426.65",160855
"27-Oct-2021","EQ","483.00","487.70","475.65","486.05","477.60","479.85","481.62","551.85","165.30",8972879,"4,321,506,825.40",95785
"26-Oct-2021","EQ","475.05","488.00","472.55","473.25","487.70","486.05","481.55","551.85","165.30",8120433,"3,910,415,521.60",94965
"25-Oct-2021","EQ","473.55","478.00","459.35","470.45","473.00","473.25","471.68","551.85","165.30",9196105,"4,337,604,025.65",109200
"22-Oct-2021","EQ","489.00","492.00","464.50","493.75","471.00","470.45","475.09","551.85","165.30",19392383,"9,213,043,774.60",211250
"21-Oct-2021","EQ","516.20","520.80","491.60","512.95","493.40","493.75","500.49","551.85","165.30",14173662,"7,093,756,190.15",130501
"20-Oct-2021","EQ","531.00","531.00","510.50","533.75","512.70","512.95","516.29","551.85","165.30",9440844,"4,874,213,175.45",160758
"19-Oct-2021","EQ","547.70","547.70","526.05","542.80","535.90","533.75","539.38","551.85","165.30",11017925,"5,942,817,287.50",128264
"18-Oct-2021","EQ","535.45","551.85","526.50","516.10","543.15","542.80","543.22","551.85","165.30",23481789,"12,755,668,608.40",256370
"14-Oct-2021","EQ","511.40","523.35","508.35","508.05","517.05","516.10","516.48","523.35","165.30",8876529,"4,584,544,399.30",117744
"13-Oct-2021","EQ","499.95","512.00","495.00","498.65","507.40","508.05","505.74","512.00","165.30",8901206,"4,501,655,613.40",98357
"12-Oct-2021","EQ","492.80","499.50","487.45","487.50","498.50","498.65","494.49","509.45","165.30",8685800,"4,295,033,596.75",89397
"11-Oct-2021","EQ","478.50","490.00","476.25","473.65","488.75","487.50","485.29","509.45","165.30",5565678,"2,700,983,005.90",63148
"08-Oct-2021","EQ","480.95","490.75","472.65","477.50","474.10","473.65","480.71","509.45","165.30",7086881,"3,406,719,179.25",85794
"07-Oct-2021","EQ","485.00","485.60","473.00","475.90","478.10","477.50","478.45","509.45","165.30",9774465,"4,676,633,859.30",113172
"06-Oct-2021","EQ","498.00","498.50","474.00","495.30","475.00","475.90","483.58","509.45","165.30",11231113,"5,431,163,067.65",107938
"05-Oct-2021","EQ","496.00","506.20","494.20","505.70","495.20","495.30","499.73","509.45","165.30",8162109,"4,078,856,412.00",120565
"04-Oct-2021","EQ","486.00","509.45","481.00","484.35","506.65","505.70","496.31","509.45","165.30",10303925,"5,113,988,941.15",100394
"01-Oct-2021","EQ","483.10","486.00","473.45","487.95","484.40","484.35","481.11","504.00","162.10",8072310,"3,883,670,769.75",73716
"30-Sep-2021","EQ","495.25","504.00","485.60","494.15","488.00","487.95","493.60","504.00","162.10",14333358,"7,074,883,622.45",133246
"29-Sep-2021","EQ","475.00","496.90","473.40","478.15","494.90","494.15","488.50","496.90","162.10",9508220,"4,644,795,008.00",104842
"28-Sep-2021","EQ","480.90","486.90","475.05","481.40","476.70","478.15","480.48","489.95","162.10",6148679,"2,954,335,676.85",73447
"27-Sep-2021","EQ","474.90","489.95","472.30","478.75","481.00","481.40","482.82","489.95","162.10",6825039,"3,295,243,525.80",70306
"24-Sep-2021","EQ","481.00","485.65","473.60","483.25","477.95","478.75","478.99","488.00","154.40",9226843,"4,419,537,821.15",91901
"23-Sep-2021","EQ","473.50","484.80","468.00","463.00","483.80","483.25","475.81","488.00","154.40",12757667,"6,070,267,077.35",117551
"22-Sep-2021","EQ","452.90","464.40","452.20","451.00","463.30","463.00","459.54","488.00","154.40",13613171,"6,255,773,892.60",150989
"21-Sep-2021","EQ","445.00","452.45","438.80","444.40","451.00","451.00","445.58","488.00","154.40",18750888,"8,355,111,426.85",160155
"20-Sep-2021","EQ","462.00","464.00","442.40","473.05","444.00","444.40","451.07","488.00","154.40",18031539,"8,133,406,477.00",209191
"17-Sep-2021","EQ","484.00","485.45","470.10","483.30","473.80","473.05","476.06","488.00","154.40",12113274,"5,766,673,371.65",126897
"16-Sep-2021","EQ","483.00","488.00","480.45","486.80","483.25","483.30","483.75","488.00","154.40",8011765,"3,875,686,583.35",85793
"15-Sep-2021","EQ","478.20","487.60","474.35","477.95","486.00","486.80","481.41","487.60","154.40",12415050,"5,976,700,743.20",107857
"14-Sep-2021","EQ","483.10","483.45","473.20","478.35","478.00","477.95","476.48","483.45","154.40",15253798,"7,268,138,869.55",120620
"13-Sep-2021","EQ","476.00","480.50","468.55","463.55","478.70","478.35","475.64","480.50","154.40",16632808,"7,911,229,464.25",224064
"09-Sep-2021","EQ","458.25","466.65","456.00","456.30","463.25","463.55","461.01","475.00","154.40",6926659,"3,193,247,789.70",82747
"08-Sep-2021","EQ","464.85","465.85","455.20","462.30","455.75","456.30","460.23","475.00","154.40",6689343,"3,078,667,402.90",81135
"07-Sep-2021","EQ","470.00","472.40","460.90","469.25","461.00","462.30","465.78","475.00","154.40",5684070,"2,647,521,184.25",81714
"06-Sep-2021","EQ","466.95","475.00","461.70","461.30","468.80","469.25","467.28","475.00","154.40",12183840,"5,693,272,800.95",127349
"03-Sep-2021","EQ","457.25","464.50","450.00","456.95","461.00","461.30","458.28","474.00","154.40",8516918,"3,903,150,066.15",97727
"02-Sep-2021","EQ","460.05","465.00","455.70","458.10","456.20","456.95","458.80","474.00","154.40",5360608,"2,459,460,010.90",72964
"01-Sep-2021","EQ","474.00","474.00","455.05","468.30","458.00","458.10","463.19","474.00","154.40",10038500,"4,649,706,341.70",107529
"31-Aug-2021","EQ","448.00","471.15","444.80","448.05","470.00","468.30","460.39","474.00","154.40",20847646,"9,598,085,475.35",181072
"30-Aug-2021","EQ","440.95","452.50","440.65","437.90","448.00","448.05","449.14","474.00","154.40",11735730,"5,270,982,386.20",120316
"27-Aug-2021","EQ","427.00","439.00","427.00","424.10","438.30","437.90","435.86","474.00","154.40",15558923,"6,781,558,875.65",144493
"26-Aug-2021","EQ","431.50","432.30","420.80","430.70","424.60","424.10","425.50","474.00","154.40",7695674,"3,274,472,734.00",67251
"25-Aug-2021","EQ","423.70","434.95","423.70","420.85","431.05","430.70","430.62","474.00","154.40",17974391,"7,740,139,831.20",177143
"24-Aug-2021","EQ","415.00","423.75","412.55","406.85","422.50","420.85","419.38","474.00","154.40",15050015,"6,311,722,569.60",152729
"23-Aug-2021","EQ","411.00","415.75","399.50","403.65","407.35","406.85","408.52","474.00","154.40",15943020,"6,513,066,904.80",168810
"20-Aug-2021","EQ","416.00","416.00","401.10","426.95","402.00","403.65","406.72","474.00","154.40",23309477,"9,480,437,833.05",241285
"18-Aug-2021","EQ","438.80","439.65","424.40","436.60","426.55","426.95","429.74","474.00","154.40",12169397,"5,229,734,588.50",111377
"17-Aug-2021","EQ","440.10","443.85","429.00","441.75","437.35","436.60","437.08","474.00","154.40",8413999,"3,677,602,665.60",93379
"16-Aug-2021","EQ","442.60","447.00","436.20","442.05","441.00","441.75","441.21","474.00","154.40",8288547,"3,656,990,891.65",104726
"13-Aug-2021","EQ","437.40","449.60","435.50","437.25","442.25","442.05","443.30","474.00","154.40",13343808,"5,915,371,428.25",140249
"12-Aug-2021","EQ","436.90","444.30","433.85","436.65","437.55","437.25","438.27","474.00","154.40",8349354,"3,659,300,785.00",96870
"11-Aug-2021","EQ","429.30","444.50","429.05","426.95","436.50","436.65","437.33","474.00","154.40",19239106,"8,413,795,602.05",209971
"10-Aug-2021","EQ","436.50","439.80","423.25","434.70","425.05","426.95","431.60","474.00","154.40",10417993,"4,496,402,706.60",117517
"09-Aug-2021","EQ","441.95","445.00","428.80","442.15","435.05","434.70","435.80","474.00","154.40",13778833,"6,004,863,932.00",158040
"06-Aug-2021","EQ","444.70","455.85","439.30","443.10","441.15","442.15","447.50","474.00","154.40",18059875,"8,081,843,521.70",185547
